DATE,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Adj_Close,SPX_Volume, Open, High, Low, Close,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXJPUS,DEXUSEU
1927-12-30,17.66,17.66,17.66,17.66,17.66,0.0,,,,,,,,,,,,,,
1928-01-03,17.76,17.76,17.76,17.76,17.76,0.0,,,,,,,,,,,,,,
1928-01-04,17.719999,17.719999,17.719999,17.719999,17.719999,0.0,,,,,,,,,,,,,,
1928-01-05,17.549999,17.549999,17.549999,17.549999,17.549999,0.0,,,,,,,,,,,,,,
1928-01-06,17.66,17.66,17.66,17.66,17.66,0.0,,,,,,,,,,,,,,
1928-01-09,17.5,17.5,17.5,17.5,17.5,0.0,,,,,,,,,,,,,,
1928-01-10,17.370001,17.370001,17.370001,17.370001,17.370001,0.0,,,,,,,,,,,,,,
1928-01-11,17.35,17.35,17.35,17.35,17.35,0.0,,,,,,,,,,,,,,
1928-01-12,17.469999,17.469999,17.469999,17.469999,17.469999,0.0,,,,,,,,,,,,,,
1928-01-13,17.58,17.58,17.58,17.58,17.58,0.0,,,,,,,,,,,,,,
1928-01-16,17.290001,17.290001,17.290001,17.290001,17.290001,0.0,,,,,,,,,,,,,,
1928-01-17,17.299999,17.299999,17.299999,17.299999,17.299999,0.0,,,,,,,,,,,,,,
1928-01-18,17.26,17.26,17.26,17.26,17.26,0.0,,,,,,,,,,,,,,
1928-01-19,17.379999,17.379999,17.379999,17.379999,17.379999,0.0,,,,,,,,,,,,,,
1928-01-20,17.48,17.48,17.48,17.48,17.48,0.0,,,,,,,,,,,,,,
1928-01-23,17.639999,17.639999,17.639999,17.639999,17.639999,0.0,,,,,,,,,,,,,,
1928-01-24,17.709999,17.709999,17.709999,17.709999,17.709999,0.0,,,,,,,,,,,,,,
1928-01-25,17.52,17.52,17.52,17.52,17.52,0.0,,,,,,,,,,,,,,
1928-01-26,17.629999,17.629999,17.629999,17.629999,17.629999,0.0,,,,,,,,,,,,,,
1928-01-27,17.690001,17.690001,17.690001,17.690001,17.690001,0.0,,,,,,,,,,,,,,
1928-01-30,17.49,17.49,17.49,17.49,17.49,0.0,,,,,,,,,,,,,,
1928-01-31,17.57,17.57,17.57,17.57,17.57,0.0,,,,,,,,,,,,,,
1928-02-01,17.530001,17.530001,17.530001,17.530001,17.530001,0.0,,,,,,,,,,,,,,
1928-02-02,17.629999,17.629999,17.629999,17.629999,17.629999,0.0,,,,,,,,,,,,,,
1928-02-03,17.4,17.4,17.4,17.4,17.4,0.0,,,,,,,,,,,,,,
1928-02-06,17.450001,17.450001,17.450001,17.450001,17.450001,0.0,,,,,,,,,,,,,,
1928-02-07,17.440001,17.440001,17.440001,17.440001,17.440001,0.0,,,,,,,,,,,,,,
1928-02-08,17.49,17.49,17.49,17.49,17.49,0.0,,,,,,,,,,,,,,
