,DATE,DEXUSEU,DEXUSUK,DEXJPUS
0,1999-01-04,1.1812,1.6581,112.15
1,1999-01-05,1.1760,1.6566,111.15
2,1999-01-06,1.1636,1.6547,112.78
3,1999-01-07,1.1672,1.6495,111.69
4,1999-01-08,1.1554,1.6405,111.52
5,1999-01-11,1.1534,1.6375,108.83
6,1999-01-12,1.1548,1.6308,112.07
7,1999-01-13,1.1698,1.6493,113.46
8,1999-01-14,1.1689,1.6530,113.25
9,1999-01-15,1.1591,1.6500,114.19
10,1999-01-18,.,.,.
11,1999-01-19,1.1610,1.6550,113.76
12,1999-01-20,1.1575,1.6467,113.45
13,1999-01-21,1.1577,1.6516,113.75
14,1999-01-22,1.1582,1.6560,114.65
15,1999-01-25,1.1566,1.6563,113.80
16,1999-01-26,1.1577,1.6585,114.03
17,1999-01-27,1.1481,1.6485,115.62
18,1999-01-28,1.1395,1.6470,116.36
19,1999-01-29,1.1371,1.6457,116.00
20,1999-02-01,1.1303,1.6410,115.09
21,1999-02-02,1.1328,1.6430,112.12
22,1999-02-03,1.1339,1.6375,112.46
23,1999-02-04,1.1306,1.6395,112.03
24,1999-02-05,1.1283,1.6370,113.14
25,1999-02-08,1.1296,1.6380,114.38
26,1999-02-09,1.1300,1.6355,114.42
27,1999-02-10,1.1331,1.6290,114.45
28,1999-02-11,1.1303,1.6244,114.70
29,1999-02-12,1.1282,1.6311,114.32
30,1999-02-15,.,.,.
31,1999-02-16,1.1189,1.6317,118.08
32,1999-02-17,1.1230,1.6338,119.03
33,1999-02-18,1.1223,1.6338,119.82
34,1999-02-19,1.1075,1.6255,121.00
35,1999-02-22,1.1037,1.6238,120.35
36,1999-02-23,1.0993,1.6138,121.45
37,1999-02-24,1.0972,1.5980,121.90
38,1999-02-25,1.1068,1.6060,119.26
39,1999-02-26,1.0995,1.6027,118.70
40,1999-03-01,1.0891,1.6058,119.79
41,1999-03-02,1.0931,1.6135,120.47
42,1999-03-03,1.0888,1.6134,121.68
43,1999-03-04,1.0824,1.6065,123.50
44,1999-03-05,1.0843,1.6073,122.57
45,1999-03-08,1.0899,1.6085,121.73
46,1999-03-09,1.0873,1.6148,121.40
47,1999-03-10,1.0961,1.6267,119.84
48,1999-03-11,1.0932,1.6270,119.57
49,1999-03-12,1.0936,1.6335,118.99
50,1999-03-15,1.0930,1.6223,117.70
51,1999-03-16,1.0915,1.6240,117.74
