,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
0,1999-01-04,0.0089166295140436,1.1812,1.6581,
1,1999-01-05,0.0089968511021142,1.176,1.6566,
2,1999-01-06,0.0088668203582195,1.1636,1.6547,
3,1999-01-07,0.00895335303071,1.1672,1.6495,
4,1999-01-08,0.0089670014347202,1.1554,1.6405,
5,1999-01-11,0.0091886428374529,1.1534,1.6375,
6,1999-01-12,0.0089229945569733,1.1548,1.6308,
7,1999-01-13,0.0088136788295434,1.1698,1.6493,
8,1999-01-14,0.0088300220750551,1.1689,1.653,
9,1999-01-15,0.0087573342674489,1.1591,1.65,
10,1999-01-18,,,,
11,1999-01-19,0.0087904360056258,1.161,1.655,
12,1999-01-20,0.00881445570736,1.1575,1.6467,
13,1999-01-21,0.0087912087912087,1.1577,1.6516,
14,1999-01-22,0.0087221979938944,1.1582,1.656,
15,1999-01-25,0.0087873462214411,1.1566,1.6563,
16,1999-01-26,0.0087696220292905,1.1577,1.6585,
17,1999-01-27,0.0086490226604393,1.1481,1.6485,
18,1999-01-28,0.00859401856308,1.1395,1.647,
19,1999-01-29,0.0086206896551724,1.1371,1.6457,
20,1999-02-01,0.008688852202624,1.1303,1.641,
21,1999-02-02,0.0089190153407063,1.1328,1.643,
22,1999-02-03,0.0088920505068468,1.1339,1.6375,
23,1999-02-04,0.0089261804873694,1.1306,1.6395,
24,1999-02-05,0.0088386070355312,1.1283,1.637,
25,1999-02-08,0.0087427872005595,1.1296,1.638,
26,1999-02-09,0.0087397308162908,1.13,1.6355,
27,1999-02-10,0.0087374399301004,1.1331,1.629,
28,1999-02-11,0.00871839581517,1.1303,1.6244,
29,1999-02-12,0.0087473757872638,1.1282,1.6311,
30,1999-02-15,,,,
31,1999-02-16,0.0084688346883468,1.1189,1.6317,
32,1999-02-17,0.0084012433840208,1.123,1.6338,
33,1999-02-18,0.0083458521115005,1.1223,1.6338,
34,1999-02-19,0.0082644628099173,1.1075,1.6255,
35,1999-02-22,0.0083090984628167,1.1037,1.6238,
36,1999-02-23,0.008233841086867,1.0993,1.6138,
37,1999-02-24,0.0082034454470877,1.0972,1.598,
38,1999-02-25,0.0083850410867013,1.1068,1.606,
39,1999-02-26,0.008424599831508,1.0995,1.6027,
