Indicator Name,Political Stability and Absence of Violence/Terrorism: Percentile Rank
1991,
1992,
1993,
1994,
1995,
1996,77.65957642
1997,
1998,76.59574127
1999,
2000,82.53968048
2001,
2002,53.96825409
2003,46.73366928
2004,37.37863922
2005,43.68931961
2006,60.86956406
2007,57.00482941
2008,66.82691956
2009,61.6113739
2010,60.66350555
2011,64.45497894
2012,66.35070801
2013,66.824646
2014,65.7142868
2015,66.66666412
2016,59.04761887
2017,55.7142868
2018,58.96226501
2019,52.35848999
2020,47.64151001
2021,46.69811249
2022,45.28302002
2023,
