DATE,DEXUSUK,DEXJPUS,DEXUSEU
1971-01-04,2.3938,357.73,
1971-01-05,2.3949,357.81,
1971-01-06,2.3967,357.86,
1971-01-07,2.3963,357.87,
1971-01-08,2.3972,357.82,
1971-01-11,2.3992,357.95,
1971-01-12,2.4001,358.06,
1971-01-13,2.4021,358.44,
1971-01-14,2.4071,358.40,
1971-01-15,2.4057,358.40,
1971-01-18,2.4052,358.29,
1971-01-19,2.4081,358.35,
1971-01-20,2.4080,358.40,
1971-01-21,2.4092,358.27,
1971-01-22,2.4103,357.90,
1971-01-25,2.4147,357.73,
1971-01-26,2.4160,357.78,
1971-01-27,2.4161,357.79,
1971-01-28,2.4169,357.83,
1971-01-29,2.4174,357.72,
1971-02-01,2.4184,357.67,
1971-02-02,2.4181,357.55,
1971-02-03,2.4184,357.54,
1971-02-04,2.4167,357.51,
1971-02-05,2.4147,357.53,
1971-02-08,2.4182,357.49,
1971-02-09,2.4151,357.50,
1971-02-10,2.4159,357.50,
1971-02-11,2.4158,357.50,
1971-02-12,.,.,
1971-02-15,.,.,
1971-02-16,2.4193,357.53,
1971-02-17,2.4193,357.53,
1971-02-18,2.4191,357.53,
1971-02-19,2.4190,357.56,
1971-02-22,2.4192,357.60,
1971-02-23,2.4193,357.55,
1971-02-24,2.4193,357.60,
1971-02-25,2.4177,357.56,
1971-02-26,2.4160,357.56,
1971-03-01,2.4162,357.63,
1971-03-02,2.4184,357.56,
1971-03-03,2.4193,357.49,
1971-03-04,2.4179,357.45,
1971-03-05,2.4183,357.59,
1971-03-08,2.4192,357.55,
1971-03-09,2.4188,357.46,
1971-03-10,2.4192,357.59,
1971-03-11,2.4188,357.56,
1971-03-12,2.4193,357.58,
1971-03-15,2.4193,357.54,
1971-03-16,2.4183,357.49,
1971-03-17,2.4194,357.53,
1971-03-18,2.4190,357.56,
1971-03-19,2.4190,357.56,
1971-03-22,2.4193,357.44,
1971-03-23,2.4193,357.53,
1971-03-24,2.4194,357.53,
1971-03-25,2.4185,357.47,
1971-03-26,2.4188,357.47,
1971-03-29,2.4194,357.44,
1971-03-30,2.4181,357.49,
1971-03-31,2.4168,357.42,
1971-04-01,2.4147,357.49,
1971-04-02,2.4125,357.53,
1971-04-05,2.4161,357.50,
1971-04-06,2.4189,357.46,
1971-04-07,2.4170,357.55,
1971-04-08,2.4167,357.55,
1971-04-09,2.4167,357.50,
