DATE,USD to JPY,USD to EUR,USD to GBP
1999-01-04,0.008916629514043692,1.1812,1.6581
1999-01-05,0.00899685110211426,1.176,1.6566
1999-01-06,0.008866820358219542,1.1636,1.6547
1999-01-07,0.008953353030710001,1.1672,1.6495
1999-01-08,0.008967001434720229,1.1554,1.6405
1999-01-11,0.009188642837452908,1.1534,1.6375
1999-01-12,0.00892299455697332,1.1548,1.6308
1999-01-13,0.008813678829543451,1.1698,1.6493
1999-01-14,0.008830022075055188,1.1689,1.653
1999-01-15,0.008757334267448989,1.1591,1.65
1999-01-18,,,
1999-01-19,0.008790436005625879,1.161,1.655
1999-01-20,0.00881445570736007,1.1575,1.6467
1999-01-21,0.008791208791208791,1.1577,1.6516
1999-01-22,0.00872219799389446,1.1582,1.656
1999-01-25,0.008787346221441126,1.1566,1.6563
1999-01-26,0.008769622029290538,1.1577,1.6585
1999-01-27,0.00864902266043937,1.1481,1.6485
1999-01-28,0.008594018563080097,1.1395,1.647
1999-01-29,0.008620689655172414,1.1371,1.6457
1999-02-01,0.008688852202624033,1.1303,1.641
1999-02-02,0.008919015340706386,1.1328,1.643
1999-02-03,0.008892050506846879,1.1339,1.6375
1999-02-04,0.008926180487369454,1.1306,1.6395
1999-02-05,0.0088386070355312,1.1283,1.637
1999-02-08,0.00874278720055954,1.1296,1.638
1999-02-09,0.008739730816290859,1.13,1.6355
1999-02-10,0.00873743993010048,1.1331,1.629
1999-02-11,0.008718395815170008,1.1303,1.6244
1999-02-12,0.008747375787263822,1.1282,1.6311
1999-02-15,,,
1999-02-16,0.008468834688346884,1.1189,1.6317
1999-02-17,0.008401243384020835,1.123,1.6338
1999-02-18,0.008345852111500584,1.1223,1.6338
1999-02-19,0.008264462809917356,1.1075,1.6255
1999-02-22,0.008309098462816784,1.1037,1.6238
1999-02-23,0.008233841086867023,1.0993,1.6138
1999-02-24,0.008203445447087777,1.0972,1.598
1999-02-25,0.008385041086701324,1.1068,1.606
1999-02-26,0.008424599831508003,1.0995,1.6027
1999-03-01,0.008347942232239752,1.0891,1.6058
1999-03-02,0.008300821781356355,1.0931,1.6135
1999-03-03,0.00821827744904668,1.0888,1.6134
1999-03-04,0.008097165991902834,1.0824,1.6065
1999-03-05,0.008158603247124092,1.0843,1.6073
1999-03-08,0.008214901831923109,1.0899,1.6085
1999-03-09,0.008237232289950576,1.0873,1.6148
1999-03-10,0.008344459279038718,1.0961,1.6267
1999-03-11,0.008363301831563101,1.0932,1.627
1999-03-12,0.008404067568703252,1.0936,1.6335
1999-03-15,0.008496176720475786,1.093,1.6223
1999-03-16,0.008493290300662476,1.0915,1.624
1999-03-17,0.008463817181548879,1.1015,1.6302
1999-03-18,0.008508465923593975,1.099,1.629
1999-03-19,0.00854335753951303,1.0923,1.6303
1999-03-22,0.008464533604198408,1.0915,1.628
1999-03-23,0.00847314014573801,1.0918,1.6372
1999-03-24,0.00852151682999574,1.0921,1.641
1999-03-25,0.008470986869970352,1.0871,1.6314
1999-03-26,0.00831255195344971,1.0743,1.6205
